Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Zach Collins (10563814),Zach Collins,10563814,PF/C/F/UTIL,3600,POR@NO 04/19/2018 09:00PM ET,POR,11.33
PF/C,Ed Davis (10563818),Ed Davis,10563818,PF/C/F/UTIL,3600,POR@NO 04/19/2018 09:00PM ET,POR,17.14
SF/PF,Kevon Looney (10563822),Kevon Looney,10563822,SF/PF/F/UTIL,3500,GS@SA 04/19/2018 09:30PM ET,GS,11.65
PG/SG,Markelle Fultz (10563830),Markelle Fultz,10563830,PG/SG/G/UTIL,3400,PHI@MIA 04/19/2018 07:00PM ET,PHI,17.39
PG/SG,Ian Clark (10563826),Ian Clark,10563826,PG/SG/G/UTIL,3400,POR@NO 04/19/2018 09:00PM ET,NO,13.01
PF/C,David West (10563834),David West,10563834,PF/C/F/UTIL,3300,GS@SA 04/19/2018 09:30PM ET,GS,16.45
PF/C,Bam Adebayo (10563846),Bam Adebayo,10563846,PF/C/F/UTIL,3200,PHI@MIA 04/19/2018 07:00PM ET,MIA,17.51
PF/C,Richaun Holmes (10563850),Richaun Holmes,10563850,PF/C/F/UTIL,3200,PHI@MIA 04/19/2018 07:00PM ET,PHI,15.16
PG/SG,Shaun Livingston (10563842),Shaun Livingston,10563842,PG/SG/G/UTIL,3200,GS@SA 04/19/2018 09:30PM ET,GS,12.02
SF/PF,Darius Miller (10563838),Darius Miller,10563838,SF/PF/F/UTIL,3200,POR@NO 04/19/2018 09:00PM ET,NO,13.78
PF/C,Jordan Bell (10563858),Jordan Bell,10563858,PF/C/F/UTIL,3100,GS@SA 04/19/2018 09:30PM ET,GS,14.46
PF/C,Cheick Diallo (10563854),Cheick Diallo,10563854,PF/C/F/UTIL,3100,POR@NO 04/19/2018 09:00PM ET,NO,11.48
PG/SG,T.J. McConnell (10563862),T.J. McConnell,10563862,PG/SG/G/UTIL,3000,PHI@MIA 04/19/2018 07:00PM ET,PHI,17.92
PG/SG,Bryn Forbes (10563872),Bryn Forbes,10563872,PG/SG/G/UTIL,2900,GS@SA 04/19/2018 09:30PM ET,SA,11.34
SG,Nick Young (10563876),Nick Young,10563876,SG/G/UTIL,2900,GS@SA 04/19/2018 09:30PM ET,GS,11.30
PG,Tony Parker (10563879),Tony Parker,10563879,PG/G/UTIL,2900,GS@SA 04/19/2018 09:30PM ET,SA,15.24
C,Emeka Okafor (10563866),Emeka Okafor,10563866,C/UTIL,2900,POR@NO 04/19/2018 09:00PM ET,NO,12.90
SF/PF,Solomon Hill (10563868),Solomon Hill,10563868,SF/PF/F/UTIL,2900,POR@NO 04/19/2018 09:00PM ET,NO,9.45
SF/PF,Justin Anderson (10563882),Justin Anderson,10563882,SF/PF/F/UTIL,2800,PHI@MIA 04/19/2018 07:00PM ET,PHI,11.40
SG/SF,Rodney McGruder (10563886),Rodney McGruder,10563886,SG/SF/F/G/UTIL,2800,PHI@MIA 04/19/2018 07:00PM ET,MIA,9.3
C,Zaza Pachulia (10563896),Zaza Pachulia,10563896,C/UTIL,2800,GS@SA 04/19/2018 09:30PM ET,GS,14.66
SG/SF,Pat Connaughton (10563891),Pat Connaughton,10563891,SG/SF/F/G/UTIL,2800,POR@NO 04/19/2018 09:00PM ET,POR,10.91
PF/C,Davis Bertans (10563898),Davis Bertans,10563898,PF/C/F/UTIL,2700,GS@SA 04/19/2018 09:30PM ET,SA,11.72
PG,Demetrius Jackson (10563906),Demetrius Jackson,10563906,PG/G/UTIL,2500,PHI@MIA 04/19/2018 07:00PM ET,PHI,3.47
SG/SF,Furkan Korkmaz (10563909),Furkan Korkmaz,10563909,SG/SF/F/G/UTIL,2500,PHI@MIA 04/19/2018 07:00PM ET,PHI,3.58
PG/SG,Jerryd Bayless (10563914),Jerryd Bayless,10563914,PG/SG/G/UTIL,2500,PHI@MIA 04/19/2018 07:00PM ET,PHI,14.10
SG/SF,Timothe Luwawu-Cabarrot (10563918),Timothe Luwawu-Cabarrot,10563918,SG/SF/F/G/UTIL,2500,PHI@MIA 04/19/2018 07:00PM ET,PHI,9.84
PF/C,Udonis Haslem (10563923),Udonis Haslem,10563923,PF/C/F/UTIL,2500,PHI@MIA 04/19/2018 07:00PM ET,MIA,2.25
SF/PF,Luke Babbitt (10563927),Luke Babbitt,10563927,SF/PF/F/UTIL,2500,PHI@MIA 04/19/2018 07:00PM ET,MIA,9.52
PG/SG,Derrick Walton Jr. (10563936),Derrick Walton Jr.,10563936,PG/SG/G/UTIL,2500,PHI@MIA 04/19/2018 07:00PM ET,MIA,5.97
PF/C,Jordan Mickey (10563940),Jordan Mickey,10563940,PF/C/F/UTIL,2500,PHI@MIA 04/19/2018 07:00PM ET,MIA,10.08
SG/SF,Derrick Jones Jr. (10563944),Derrick Jones Jr.,10563944,SG/SF/F/G/UTIL,2500,PHI@MIA 04/19/2018 07:00PM ET,MIA,7.7
SG,Brandon Paul (10563949),Brandon Paul,10563949,SG/G/UTIL,2500,GS@SA 04/19/2018 09:30PM ET,SA,5.84
SG/SF,Darrun Hilliard (10563952),Darrun Hilliard,10563952,SG/SF/F/G/UTIL,2500,GS@SA 04/19/2018 09:30PM ET,SA,3.09
PF,Matt Costello (10563957),Matt Costello,10563957,PF/F/UTIL,2500,GS@SA 04/19/2018 09:30PM ET,SA,6.44
PG/SG,Derrick White (10563960),Derrick White,10563960,PG/SG/G/UTIL,2500,GS@SA 04/19/2018 09:30PM ET,SA,7.53
PF,Chris Boucher (10563964),Chris Boucher,10563964,PF/F/UTIL,2500,GS@SA 04/19/2018 09:30PM ET,GS,1.25
C,Damian Jones (10563967),Damian Jones,10563967,C/UTIL,2500,GS@SA 04/19/2018 09:30PM ET,GS,3.09
PF/C,Meyers Leonard (10563969),Meyers Leonard,10563969,PF/C/F/UTIL,2500,POR@NO 04/19/2018 09:00PM ET,POR,7.73
PG/SG,Wade Baldwin IV (10563973),Wade Baldwin IV,10563973,PG/SG/G/UTIL,2500,POR@NO 04/19/2018 09:00PM ET,POR,7.88
PF,Caleb Swanigan (10563977),Caleb Swanigan,10563977,PF/F/UTIL,2500,POR@NO 04/19/2018 09:00PM ET,POR,5.82
SF/PF,Jake Layman (10563980),Jake Layman,10563980,SF/PF/F/UTIL,2500,POR@NO 04/19/2018 09:00PM ET,POR,2.65
SG/SF,CJ Wilcox (10563984),CJ Wilcox,10563984,SG/SF/F/G/UTIL,2500,POR@NO 04/19/2018 09:00PM ET,POR,0
C,Georgios Papagiannis (10563989),Georgios Papagiannis,10563989,C/UTIL,2500,POR@NO 04/19/2018 09:00PM ET,POR,6.57
SG,Charles Cooke (10563995),Charles Cooke,10563995,SG/G/UTIL,2500,POR@NO 04/19/2018 09:00PM ET,NO,1
PG/SG,Frank Jackson (10563998),Frank Jackson,10563998,PG/SG/G/UTIL,2500,POR@NO 04/19/2018 09:00PM ET,NO,0
C,Alexis Ajinca (10564002),Alexis Ajinca,10564002,C/UTIL,2500,POR@NO 04/19/2018 09:00PM ET,NO,0
PG/SG,Jordan Crawford (10564004),Jordan Crawford,10564004,PG/SG/G/UTIL,2500,POR@NO 04/19/2018 09:00PM ET,NO,12.65
SG/SF,DeAndre Liggins (10564008),DeAndre Liggins,10564008,SG/SF/F/G/UTIL,2500,POR@NO 04/19/2018 09:00PM ET,NO,6.58
